ThreadID,CallerID,StartNanos,EndNanos,NumBytes
47,read,12034015264740,12034024519941,8000009
48,read,12034002930189,12034024576366,8000009
45,read,12034014190561,12034030120056,8000009
46,read,12034023403583,12034040930528,8000009
44,read,12034026057011,12034042370234,8000009
47,read,12034031214808,12034048797211,8000009
48,read,12034037737035,12034055518396,8000009
45,read,12034039687919,12034057717145,8000009
46,read,12034047445017,12034063427873,8000009
44,read,12034047841056,12034065825245,8000009
47,read,12034055488696,12034071765561,8000009
48,read,12034055784782,12034073510338,8000009
45,read,12034063874588,12034080746337,8000009
46,read,12034063925260,12034082536352,8000009
44,read,12034065894427,12034082551354,8000009
47,read,12034072720598,12034087709700,8000009
48,read,12034073642795,12034087950457,8000009
45,read,12034080906192,12034096356273,8000009
46,read,12034089312963,12034099435876,8000009
44,read,12034089468175,12034101143711,8000009
48,read,12034098112427,12034112661329,8000009
47,read,12034097658661,12034114112067,8000009
46,read,12034108265935,12034118712849,8000009
45,read,12034105496585,12034122019839,8000009
48,read,12034118047343,12034128241471,8000009
44,read,12034115727410,12034129688268,8000009
47,read,12034123764655,12034136988579,8000009
46,read,12034126324744,12034139826456,8000009
48,read,12034134724829,12034145019626,8000009
45,read,12034132336433,12034147142623,8000009
46,read,12034142878843,12034154431958,8000009
47,read,12034140435821,12034155057201,8000009
44,read,12034140406553,12034155739107,8000009
48,read,12034151281289,12034165058077,8000009
45,read,12034151460646,12034166643499,8000009
46,read,12034156959483,12034167741492,8000009
48,read,12034165181135,12034178048387,8000009
44,read,12034168860298,12034182755858,8000009
47,read,12034173063053,12034182942606,8000009
45,read,12034178789829,12034195276014,8000009
46,read,12034181431141,12034201239050,8000009
48,read,12034187604081,12034209292137,8000009
44,read,12034189218949,12034210662341,8000009
45,read,12034198217456,12034215967058,8000009
47,read,12034196909037,12034217387760,8000009
48,read,12034209406996,12034230451732,8000009
46,read,12034208591120,12034230540150,8000009
45,read,12034221249352,12034244340682,8000009
44,read,12034220777197,12034244605966,8000009
47,read,12034221266137,12034245352398,8000009
48,read,12034235442263,12034255600242,8000009
46,read,12034243282263,12034262587674,8000009
45,read,12034245869205,12034263631504,8000009
44,read,12034245931299,12034265493330,8000009
47,read,12034251889810,12034270626188,8000009
48,read,12034262394968,12034278354127,8000009
46,read,12034264578748,12034281442589,8000009
45,read,12034270474091,12034286079468,8000009
44,read,12034273418873,12034290836156,8000009
47,read,12034278576921,12034296734838,8000009
48,read,12034281872588,12034299420586,8000009
46,read,12034286726428,12034300183180,8000009
45,read,12034289697461,12034306351171,8000009
44,read,12034294450358,12034309815513,8000009
47,read,12034297408696,12034312774088,8000009
46,read,12034302305046,12034314013538,8000009
48,read,12034302274927,12034318413541,8000009
45,read,12034306451318,12034322295816,8000009
44,read,12034312794219,12034327965112,8000009
47,read,12034319635348,12034329864277,8000009
46,read,12034320836512,12034335708597,8000009
48,read,12034320930337,12034335830262,8000009
45,read,12034328062510,12034337766942,8000009
47,read,12034337336779,12034346313720,8000009
44,read,12034336706772,12034352239282,8000009
46,read,12034344275915,12034360552460,8000009
48,read,12034344868253,12034361412738,8000009
47,read,12034355164600,12034365105373,8000009
45,read,12034354919338,12034366476058,8000009
44,read,12034363142550,12034374835187,8000009
46,read,12034363501141,12034378301812,8000009
47,read,12034371366047,12034383025430,8000009
48,read,12034370836162,12034385413500,8000009
44,read,12034378947195,12034392957047,8000009
45,read,12034378926367,12034394296273,8000009
46,read,12034379663527,12034395405128,8000009
47,read,12034387575870,12034397884462,8000009
48,read,12034395897974,12034409243050,8000009
45,read,12034396016212,12034410074782,8000009
44,read,12034395994895,12034412241344,8000009
46,read,12034404488944,12034419100617,8000009
47,read,12034412636185,12034424315774,8000009
48,read,12034412883719,12034428090476,8000009
45,read,12034420263803,12034436762416,8000009
44,read,12034423046122,12034441527678,8000009
46,read,12034428568344,12034444725990,8000009
47,read,12034435631312,12034452662145,8000009
48,read,12034437067819,12034452691680,8000009
44,read,12034445686688,12034456752663,8000009
45,read,12034444527370,12034460057501,8000009
46,read,12034452182433,12034466304651,8000009
47,read,12034453813789,12034471895183,8000009
48,read,12034459963513,12034478661256,8000009
44,read,12034459996827,12034481408583,8000009
45,read,12034461674216,12034481643622,8000009
47,read,12034472911767,12034488790412,8000009
46,read,12034472882707,12034491902075,8000009
48,read,12034480642194,12034500265463,8000009
44,read,12034489611014,12034506799522,8000009
45,read,12034489793827,12034508024155,8000009
47,read,12034497418168,12034515789661,8000009
46,read,12034497450493,12034516183058,8000009
48,read,12034505642903,12034523847882,8000009
44,read,12034506952993,12034524366396,8000009
45,read,12034513505246,12034532422756,8000009
47,read,12034515907140,12034533913184,8000009
46,read,12034521205035,12034539373748,8000009
48,read,12034523985785,12034541734113,8000009
44,read,12034528756346,12034546387391,8000009
45,read,12034532531939,12034549845819,8000009
47,read,12034536708956,12034554098668,8000009
46,read,12034539465821,12034556957101,8000009
48,read,12034541802013,12034560337474,8000009
44,read,12034546443848,12034563925287,8000009
45,read,12034549940898,12034568255076,8000009
47,read,12034554152574,12034568957593,8000009
48,read,12034561965126,12034578069355,8000009
46,read,12034561034509,12034578402602,8000009
44,read,12034569039155,12034583828180,8000009
45,read,12034569949579,12034583838033,8000009
47,read,12034577239991,12034597644040,8000009
48,read,12034578175441,12034598516404,8000009
46,read,12034591230063,12034603158254,8000009
45,read,12034591440292,12034605665958,8000009
44,read,12034599598358,12034610518802,8000009
47,read,12034601285976,12034616442396,8000009
48,read,12034608605702,12034621508127,8000009
46,read,12034609215502,12034622370385,8000009
44,read,12034617483660,12034629398538,8000009
45,read,12034616714568,12034632997866,8000009
47,read,12034617585100,12034633807187,8000009
46,read,12034624585824,12034635427664,8000009
48,read,12034624549008,12034640260941,8000009
44,read,12034633393805,12034643322927,8000009
47,read,12034641520881,12034652643920,8000009
45,read,12034640814792,12034653476194,8000009
46,read,12034649051928,12034673381308,8000009
48,read,12034649917894,12034674217959,8000009
44,read,12034658146242,12034683907312,8000009
47,read,12034658446696,12034685080488,8000009
45,read,12034666571800,12034691437943,8000009
46,read,12034673537279,12034693085600,8000009
48,read,12034677471842,12034697082580,8000009
44,read,12034684015295,12034702719139,8000009
47,read,12034685287721,12034704394632,8000009
45,read,12034691537279,12034711764441,8000009
46,read,12034693427166,12034713600533,8000009
48,read,12034697156264,12034717214638,8000009
44,read,12034702828814,12034723659578,8000009
47,read,12034704481845,12034725074403,8000009
45,read,12034711865241,12034728060909,8000009
46,read,12034713715261,12034730054457,8000009
44,read,12034723755698,12034741196575,8000009
48,read,12034722345479,12034741809021,8000009
47,read,12034730423875,12034747530361,8000009
45,read,12034730943287,12034750200269,8000009
46,read,12034738541823,12034756351474,8000009
44,read,12034741304981,12034759417908,8000009
48,read,12034746753215,12034771281813,8000009
47,read,12034747611297,12034773171832,8000009
45,read,12034754261578,12034778534056,8000009
46,read,12034756436549,12034781969253,8000009
48,read,12034771392758,12034784804384,8000009
44,read,12034762151636,12034786009726,8000009
47,read,12034773260014,12034790471328,8000009
48,read,12034784866964,12034795126649,8000009
45,read,12034778622721,12034795804262,8000009
46,read,12034782057468,12034798911646,8000009
44,read,12034786095253,12034802483600,8000009
47,read,12034790571554,12034805471032,8000009
