ThreadID,CallerID,Timestamp,ScheduledEvictionSize,CacheSize
42,LRUCacheScheduler,7245270130864,48000054,328008378
42,LRUCacheScheduler,7245270253028,48000054,320008369
54,LRUCacheScheduler,7245271814803,56000063,328008378
54,LRUCacheScheduler,7245271883020,56000063,320008369
47,LRUCacheScheduler,7245292035868,48000054,320008369
47,LRUCacheScheduler,7245295872384,56000063,328008378
47,LRUCacheScheduler,7245295957394,56000063,320008369
22,LRUCacheScheduler,7245320080567,16000018,320008369
57,LRUCacheScheduler,7245336099337,24000027,328008378
22,LRUCacheScheduler,7245336163867,24000027,328008378
22,LRUCacheScheduler,7245336232525,24000027,320008369
52,LRUCacheScheduler,7245345048478,24000027,320008369
57,LRUCacheScheduler,7245345172823,32000036,328008378
57,LRUCacheScheduler,7245345256506,32000036,320008369
52,LRUCacheScheduler,7245356940177,40000045,328008378
52,LRUCacheScheduler,7245358773125,40000045,320008369
45,LRUCacheScheduler,7245370035442,40000045,320008369
45,LRUCacheScheduler,7245376233958,48000054,328008378
45,LRUCacheScheduler,7245380036449,48000054,320008369
49,LRUCacheScheduler,7245410553877,24000027,320008369
56,LRUCacheScheduler,7245431088132,24000027,320008369
49,LRUCacheScheduler,7245432076216,32000036,328008378
49,LRUCacheScheduler,7245432253925,32000036,320008369
56,LRUCacheScheduler,7245441182325,40000045,328008378
56,LRUCacheScheduler,7245441328985,40000045,320008369
29,LRUCacheScheduler,7245445492915,40000045,320008369
29,LRUCacheScheduler,7245453367096,48000054,328008378
29,LRUCacheScheduler,7245453504128,48000054,320008369
53,LRUCacheScheduler,7245467955178,32000036,320008369
50,LRUCacheScheduler,7245470163307,32000036,320008369
28,LRUCacheScheduler,7245471041039,32000036,320008369
50,LRUCacheScheduler,7245478983931,40000045,328008378
50,LRUCacheScheduler,7245479084663,40000045,320008369
28,LRUCacheScheduler,7245482160036,48000054,328008378
28,LRUCacheScheduler,7245482244433,48000054,320008369
43,LRUCacheScheduler,7245482881475,48000054,320008369
53,LRUCacheScheduler,7245483523335,56000063,328008378
