ThreadID,CallerID,StartNanos,EndNanos
1,createvar_373097727,7235478609352,7235478628540
43,ooc_-_1048712791,7235566258588,7235566843247
43,ooc_-_1048712791,7235566885581,7235566915947
43,ooc_-_1048712791,7235566935587,7235566953604
43,ooc_-_1048712791,7235566972488,7235566987128
46,ooc_-_1048712791,7235567264486,7235567291063
44,ooc_-_1048712791,7235567255189,7235567316508
46,ooc_-_1048712791,7235567502526,7235567522697
48,ooc_-_1048712791,7235573124522,7235573167739
50,ooc_-_1048712791,7235573177268,7235573203477
49,ooc_-_1048712791,7235573428816,7235573445027
51,ooc_-_1048712791,7235585791561,7235585824641
49,ooc_-_1048712791,7235589071884,7235589096782
55,ooc_-_1048712791,7235596252411,7235596286385
55,ooc_-_1048712791,7235596307961,7235596320614
55,ooc_-_1048712791,7235596344603,7235596357680
56,ooc_-_1048712791,7235598210074,7235598237871
56,ooc_-_1048712791,7235625969087,7235626023173
54,ooc_-_1048712791,7235629021815,7235629033745
40,ooc_uacmean_692998280,7235565721621,7235815944254
51,ooc_uacmean_692998280,7235588068230,7235816376742
44,ooc_uacmean_692998280,7235567473548,7235816692595
44,ooc_-_1048712791,7235816716889,7235816743126
46,ooc_uacmean_692998280,7235574271067,7235816916305
57,ooc_uacmean_692998280,7235625951264,7235817731657
54,ooc_uacmean_692998280,7235629549651,7235817819713
54,ooc_-_1048712791,7235817845711,7235817892282
47,ooc_uacmean_692998280,7235567550799,7235817900096
43,ooc_uacmean_692998280,7235567819951,7235818078428
53,ooc_uacmean_692998280,7235592923655,7235818431238
49,ooc_uacmean_692998280,7235590839043,7235818657506
49,ooc_-_1048712791,7235818690690,7235818718657
45,ooc_uacmean_692998280,7235566421102,7235819043105
41,ooc_uacmean_692998280,7235567145702,7235819941054
41,ooc_-_1048712791,7235819959945,7235819977571
55,ooc_uacmean_692998280,7235596371981,7235820760265
55,ooc_-_1048712791,7235820780948,7235820804819
48,ooc_uacmean_692998280,7235592567281,7235823110238
48,ooc_-_1048712791,7235823128376,7235823147833
40,ooc_uacmean_692998280,7235816016530,7235823524811
40,ooc_-_1048712791,7235823546808,7235823579112
44,ooc_uacmean_692998280,7235816750843,7235823767687
44,ooc_-_1048712791,7235823787484,7235823815154
